Hat Adı;İstasyon Adı;İlçe Adı;İstasyon Büyüklüğü;Yürüyen Merdiven Sayısı;Asansör Sayısı
M1;YENİKAPI;FATİH;2.500;8;2
M1;AKSARAY;FATİH;670;4;1
M1;EMNİYET;FATİH;1.816;2;4
M1;ULUBATLI;FATİH;1.738;2;4
M1;BAYRAMPAŞA;BAYRAMPAŞA;1.157;2;3
M1;SAĞMACILAR;BAYRAMPAŞA;1.157;1;2
M1;KOCATEPE;BAYRAMPAŞA;745;2;1
M1;OTOGAR;BAYRAMPAŞA;2.673;4;2
M1;TREZİDERE;ESENLER;1.357;4;4
M1;DAVUTPAŞA ;GÜNGÖREN;1.289;2;2
M1;MERTER;GÜNGÖREN;1.676;4;2
M1;ZEYTİNBURNU;ZEYTİNBURNU;1.667;3;5
M1;BAKIRKÖY - İNCİRLİ;BAKIRKÖY;2.658;6;3
M1;BAHÇELİEVLER;BAHÇELİEVLER;2.548;7;2
M1;ATAKÖY;BAKIRKÖY;1.322;4;4
M1;YENİBOSNA;BAKIRKÖY;1.845;2;1
M1;DTM - İSTANBUL FUAR MWERKEZİ;BAKIRKÖY;1.132;2;1
M1;ATARTÜRK HAVALİMANI;BAKIRKÖY;1.109;2;2
M1;ESENLER;ESENLER;1.540;4;3
M1;MENDERES;ESENLER;28.400;18;5
M1;ÜÇYÜZLÜ;ESENLER;29.650;18;2
M1;BAĞCILAR MEYDAN;BAĞCILAR;32.000;20;9
M1;KİRAZLI;BAĞCILAR;10.000;10;2
M2;YENİKAPI;FATİH;20.000;16;5
M2;HALİÇ;BEYOĞLU;5.500;8;6
M2;VEZNECİLER;FATİH;16.000;19;10
M2;ŞİŞHANE;BEYOĞLU;20.000;30;5
M2;TAKSİM;BEYOĞLU;11.000;28;8
M2;OSMANBEY;ŞİŞLİ;6.200;15;2
M2;ŞİŞLİ-MECİDİYEKÖY;ŞİŞLİ;6.100;25;4
M2;GAYRETTEPE;ŞİŞLİ;9.600;18;11
M2;LEVENT;BEŞİKTAŞ;15.500;24;4
M2;4.LEVENT;BEŞİKTAŞ;6.600;20;5
M2;SANAYI MAHALLESİ;KAĞITHANE;12.000;26;4
M2;ITU AYAZAGA;SARIYER;15.350;20;3
M2;ATATÜRK OTO SANAYİ;ŞİŞLİ;9.600;15;2
M2;DARÜŞŞAFAKA;SARIYER;14.800;20;4
M2;HACIOSMAN;SARIYER;33.400;48;6
M2;SEYRANTEPE;SARIYER;15.414;14;5
M3;KİRAZLI;BAĞCILAR;14.147;14;3
M3;YENİMAHLLE;BAĞCILAR;27.455;18;2
M3;MAHMUTBEY;BAĞCILAR;56.915;42;3
M3;İSTOÇ;BAĞCILAR;21.209;20;2
M3;İKİTELLİ  SANAYİ;BAŞAKŞEHİR;109.510;34;4
M3;TURGUT ÖZAL;BAŞAKŞEHİR;14.885;13;2
M3;SİTELER;BAŞAKŞEHİR;16.120;14;2
M3;BAŞAK KONUTLARI;BAŞAKŞEHİR;16.113;13;2
M3;BAŞAKŞEHİR METROKENT;BAŞAKŞEHİR;37.442;22;2
M3;ZİYA GÖKALP MAH.;BAŞAKŞEHİR;14.175;16;3
M3;OLİMPİYAT;BAŞAKŞEHİR;23.949;18;4
M4;KADIKÖY;KADIKÖY;15.947;16;6
M4;AYRILIKÇEŞMESİ;KADIKÖY;14.336;18;3
M4;ACIBADEM;KADIKÖY;10.243;10;4
M4;ÜNALAN;ÜSKÜDAR;12.335;27;7
M4;GÖZTEPE;ÜSKÜDAR;11.199;14;3
M4;YENİSAHRA;KADIKÖY;13.330;14;3
M4;KOZYATAĞI;ATAŞEHİR;11.053;18;5
M4;BOSTANCI;KADIKÖY;14.859;22;9
M4;KÜÇÜKYALI;MALTEPE;8.796;10;3
M4;MALTEPE;MALTEPE;9.285;28;8
M4;HUZUREVİ;MALTEPE;8.258;10;4
M4;GÜLSUYU;MALTEPE;14.680;16;3
M4;ESENKENT;MALTEPE;13.795;20;5
M4;HASTANE - ADLİYE;KARTAL;11.409;30;7
M4;SOĞANLIK;KARTAL;13.334;18;3
M4;KARTAL;KARTAL;10.197;20;5
M4;YAKACIK - ADNAN KAHVECİ;KARTAL;5.390;18;5
M4;PENDİK;PENDİK;4.089;29;9
M4;TAVŞANTEPE;PENDİK;9.250;18;4
M5;ÜSKÜDAR;ÜSKÜDAR;9.319;14;4
M5;FISTIKAĞACI;ÜSKÜDAR;6.800;8;4
M5;BAĞLARBAŞI;ÜSKÜDAR;7.433;18;4
M5;ALTUNİZADE;ÜSKÜDAR;12.336;32;9
M5;KISIKLI;ÜSKÜDAR;6.904;4;10
M5;BULGURLU;ÜSKÜDAR;6.704;12;3
M5;ÜMRANİYE;ÜMRANİYE;5.923;8;2
M5;ÇARŞI;ÜMRANİYE;9.745;19;2
M5;YAMANEVLER;ÜMRANİYE;5.804;8;2
M5;ÇAKMAK;ÜMRANİYE;6.335;8;3
M5;IHLAMURKAYA;ÜMRANİYE;6.182;8;2
M5;ALTINŞEHİR;ÜMRANİYE;6.702;13;3
M5;İMAM HATİP;ÜMRANİYE;6.225;9;2
M5;DUDULLU;ÜMRANİYE;14.242;18;3
M5;NECİP FAZIL;ÜMRANİYE;5.758;10;4
M5;ÇEKMEKÖY;ÇEKMEKÖY;14.339;12;6
M6;LEVENT;BEŞİKTAŞ;4.568;8;0
M6;ETİLER;BEŞİKTAŞ;6.750;1;3
M6;NİSPETİYE;BEŞİKTAŞ;5.765;4;5
M6;HİSARÜSTÜ - BOĞAZİÇİ ÜNİVERSİTESİ;BEŞİKTAŞ;6.915;3;3
F1;KABATAŞ;BEYOĞLU;0;2;2
F1;TAKSİM;BEYOĞLU;0;0;1
T1;KABATAŞ;BEYOĞLU;739;0;0
T1;FINDIKLI;BEYOĞLU;188;0;0
T1;TOPHANE;BEYOĞLU;186;0;0
T1;KARAKÖY;BEYOĞLU;409;0;0
T1;EMİNÖNÜ;FATİH;941;0;0
T1;SİRKECİ;FATİH;424;0;0
T1;GÜLHANE;FATİH;228;0;0
