Bölüm_Adı;Fakülte_Adı;Öğrenci_Sayısı;Dr_Öğr_Gör_Sayısı;Öğr_Gör_Sayısı;Doç_Dr_Sayısı
Bilgi Güvenliği Teknolojileri;Ticari Bilimler Fakültesi;75;15;29;7
Yönetim Bilişim Sistemleri;Ticari Bilimler Fakültesi;320;15;29;7
Bilişim Sistemleri ve Teknolojileri;Ticari Bilimler Fakültesi;206;15;29;7
Turizm İşletmeciliği;Ticari Bilimler Fakültesi;60;15;29;7
Elektronik Ticaret ve Yönetimi;Ticari Bilimler Fakültesi;150;15;29;7
Uluslararası Ticaret ve İşletmecilik ;Ticari Bilimler Fakültesi;386;15;29;7
Bilgisayar Mühendisliği;Mühendislik Fakültesi;420;42;5;16
Biyomedikal Mühendisliği;Mühendislik Fakültesi;195;42;5;16
Kimya Mühendisliği;Mühendislik Fakültesi;160;42;5;16
Genetik ve Biyomühendisliği;Mühendislik Fakültesi;286;42;5;16
Endüstri Mühendisliği;Mühendislik Fakültesi;410;42;5;16
İşletme;İktisadi ve İdari Bilimler Fakültesi;384;15;30;15
Siyaset Bilimi;İktisadi ve İdari Bilimler Fakültesi;448;15;30;15
Kamu Yönetimi;İktisadi ve İdari Bilimler Fakültesi;180;15;30;15
Uluslararası İşletme Yönetimi;İktisadi ve İdari Bilimler Fakültesi;90;15;30;15
